"FROTA";"ANO";"MES";"LAT";"LON";"EFF";"LAGE";"BRANCA";"BANDOLIM"
"BRA";1998;1;0;25;24520;1600;100;2900
"BRA";1998;1;0;30;155450;38500;1000;43900
"BRA";1998;1;0;35;12626;0;0;0
"BRA";1998;1;5;25;34300;15800;900;7900
"BRA";1998;1;5;30;2750;0;0;0
"BRA";1998;1;10;30;192666;8800;101800;7500
"BRA";1998;1;10;35;109705;4100;71900;1500
"BRA";1998;1;15;25;11430;200;900;0
"BRA";1998;1;20;25;19380;400;1200;400
"BRA";1998;1;20;30;5400;0;0;0
"BRA";1998;1;20;35;2700;0;0;0
"BRA";1998;1;20;40;900;0;0;0
"BRA";1998;1;25;25;1020;0;0;0
"BRA";1998;1;25;45;4600;0;0;0
"BRA";1998;1;30;45;1850;0;0;0
"BRA";1998;2;0;25;2380;100;0;400
"BRA";1998;2;0;30;96830;7800;400;22200
"BRA";1998;2;0;35;1657;0;0;0
"BRA";1998;2;0;35;1000;200;0;0
"BRA";1998;2;5;20;2700;100;0;400
"BRA";1998;2;5;25;27460;900;200;4900
"BRA";1998;2;5;30;3461;0;0;0
"BRA";1998;2;5;30;7820;700;300;300
"BRA";1998;2;5;35;549;0;0;0
"BRA";1998;2;10;30;62368;2300;23200;1800
"BRA";1998;2;10;35;71910;3100;40800;1200
"BRA";1998;2;15;25;18900;1300;2200;200
"BRA";1998;2;15;30;1000;0;0;0
"BRA";1998;2;15;30;3640;100;0;0
"BRA";1998;2;15;35;61236;2100;41500;0
"BRA";1998;2;20;20;15800;2000;1800;0
"BRA";1998;2;20;25;2040;0;0;0
"BRA";1998;2;20;25;4000;0;0;0
"BRA";1998;2;20;30;6700;0;0;0
"BRA";1998;2;20;30;1100;100;200;0
"BRA";1998;2;20;35;900;0;0;0
"BRA";1998;2;20;40;6600;0;0;0
"BRA";1998;2;25;40;900;0;0;0
"BRA";1998;2;25;45;900;0;0;0
"BRA";1998;3;0;20;11030;100;0;1800
"BRA";1998;3;0;25;17154;0;0;0
"BRA";1998;3;0;25;5400;100;0;800
"BRA";1998;3;0;30;8300;14200;100;0
"BRA";1998;3;0;30;35325;0;0;0
"BRA";1998;3;0;35;34745;0;0;0
"BRA";1998;3;0;35;10200;12300;100;0
"BRA";1998;3;5;20;105300;1200;400;26100
"BRA";1998;3;5;25;2550;100;0;600
"BRA";1998;3;5;25;12000;0;0;0
"BRA";1998;3;5;30;11373;0;0;0
"BRA";1998;3;5;30;2550;0;0;500
"BRA";1998;3;5;35;330;0;0;0
"BRA";1998;3;15;25;1000;200;200;0
"BRA";1998;3;15;30;1100;600;200;0
"BRA";1998;3;15;35;186646;5600;161200;700
"BRA";1998;3;20;25;6000;200;100;0
"BRA";1998;3;20;30;4400;700;500;0
"BRA";1998;3;20;40;1000;0;0;0
"BRA";1998;3;25;35;2000;0;0;0
"BRA";1998;3;25;45;900;0;0;0
"BRA";1998;3;30;35;1100;0;0;0
"BRA";1998;3;30;40;6000;0;0;0
"BRA";1998;3;30;45;12600;0;0;0
"BRA";1998;3;30;50;1000;0;0;0
"BRA";1998;4;0;25;4800;0;0;0
"BRA";1998;4;0;30;37048;0;0;0
"BRA";1998;4;0;30;16800;27100;2900;11400
"BRA";1998;4;0;35;1000;800;100;0
"BRA";1998;4;0;35;24368;0;0;0
"BRA";1998;4;5;25;2400;0;0;0
"BRA";1998;4;5;30;12441;0;0;0
"BRA";1998;4;5;35;339;0;0;0
"BRA";1998;4;10;35;18528;300;19400;500
"BRA";1998;4;15;35;139528;700;107300;800
"BRA";1998;4;20;35;11042;0;7200;100
"BRA";1998;4;25;45;1000;0;0;0
"BRA";1998;4;30;45;11600;0;0;0
"BRA";1998;4;35;40;20028;200;20700;0
"BRA";1998;4;35;45;900;0;0;0
"BRA";1998;5;0;25;15520;0;0;0
"BRA";1998;5;0;25;3700;11500;800;0
"BRA";1998;5;0;30;19248;0;0;0
"BRA";1998;5;0;30;4350;2100;0;0
"BRA";1998;5;0;35;21260;0;0;0
"BRA";1998;5;0;35;4830;100;100;100
"BRA";1998;5;5;30;1200;0;0;0
"BRA";1998;5;5;35;700;0;0;0
"BRA";1998;5;15;25;6000;0;0;0
"BRA";1998;5;15;30;2880;0;0;0
"BRA";1998;5;20;25;2000;0;0;0
"BRA";1998;5;25;40;2400;0;0;0
"BRA";1998;5;25;45;2300;0;0;0
"BRA";1998;5;30;40;3600;0;0;0
"BRA";1998;5;30;45;13700;0;0;0
"BRA";1998;5;30;45;34920;300;23200;800
"BRA";1998;5;30;50;9000;0;0;0
"BRA";1998;5;35;40;141868;2000;140800;300
"BRA";1998;5;35;45;72390;1200;62600;200
"BRA";1998;5;35;50;30200;100;22200;400
"BRA";1998;6;0;30;23680;0;0;0
