#------------------------------------------------------------------------------------------
# Dados de experimento avaliando componentes da biomassa de duas espécies de mudas em
# função da mistura de Na e K na solução nutritiva.
# PLA: espécies (E=Enterolobium contortisiliquum, S=Sesbania virgata)
# TRAT: tratamentos que são os níveis de mistura e os tratamentos adicionais
# K: indica a proporção de potássio na solução de Hoagland-Arnon
# Na: indica proporção de sódio na solução de Hoagland-Arnon
# Naplus: indica que recebeu 100% de K e 50% de Na na solução de Hoagland-Arnon
# BJ: indica que recebeu solução completa de Bolle-Jones
# REP: índice da repetição
# AP: altura de plantas (cm)
# NF: número de folhas final
# MFF: matéria fresca da folha (g)
# MFC: matéria fresca do caule (g)
# MFPA: matéria fresca da parte aérea (g)
# MFR: matéria fresca das raízes (g)
# DC: diâmetro do caule (mm)
# VR: volume de raízes (cm3)
# CR: comprimento de raiz (cm)
# MSF: matéria seca da folha (g)
# MSC: matéria seca do caule (g)
# MSPA: matéria seca da parte aérea (g)
# MSR: matéria seca das raízes (g)
# RRPA: relação raiz/parte aérea
# dados de Maycom Incêncio Ferreira, Doutorado em Ciência do Solo - UFLA
#------------------------------------------------------------------------------------------
PLA	TRAT	K	Na	Naplus	BJ	REP	AP	NF	MFF	MFC	MFPA	MFR	DC	VR	CR	MSF	MSC	MSPA	MSR	RRPA
E	Na 0	1	0	0	0	1	18.0	6	3.123	1.845	4.968	5.054	3.600	5.000	21.000	0.750	0.668	1.418	0.551	0.389
E	Na 0	1	0	0	0	2	21.0	6	3.386	1.564	4.950	3.704	3.500	6.000	19.000	0.772	0.572	1.344	0.443	0.330
E	Na 0	1	0	0	0	3	20.0	7	3.817	1.534	5.351	4.096	3.400	6.000	23.000	0.654	0.488	1.142	0.578	0.506
E	Na 0	1	0	0	0	4	21.0	7	3.442	1.648	5.090	4.285	3.500	5.000	23.000	0.725	0.576	1.301	0.524	0.403
E	Na 2	0.67	0.33	0	0	1	20.0	7	3.466	1.817	5.282	4.380	3.800	3.500	23.000	0.849	0.746	1.595	0.512	0.321
E	Na 2	0.67	0.33	0	0	2	22.0	5	3.043	1.644	4.687	4.609	3.500	4.000	25.000	0.705	0.616	1.321	0.665	0.503
E	Na 2	0.67	0.33	0	0	3	19.0	6	3.675	1.919	5.594	4.300	4.500	3.000	28.000	0.946	0.779	1.725	0.623	0.361
E	Na 2	0.67	0.33	0	0	4	24.0	8	3.679	1.887	5.566	4.232	3.400	3.400	25.500	0.833	0.714	1.547	0.600	0.388
E	Na 3	0.5	0.5	0	0	1	33.0	6	4.121	2.204	6.325	4.747	3.700	6.000	30.000	1.012	0.846	1.858	0.576	0.310
E	Na 3	0.5	0.5	0	0	2	32.0	7	5.141	3.259	8.400	4.531	4.100	6.000	23.000	1.294	1.197	2.491	0.703	0.282
