## Dados de responsabilidade de Rafael THB de Goes (FCA/UFGD). O
## experimento avaliou o efeito da adição de óleo de copaíba como
## aditivo na ração (g/dia) no comportamento ingestivo dos animais. O
## experimento foi instalado em quadrado lativo 4x4 (4 animais - linha,
## 4 períodos - coluna, com 4 níveis de óleo de copaíba. Após servido
## concentrado (às 9:30) o peso do que restava no cocho à cada 15
## minutos era determinado (pesoconc, g). O mesmo cocho é medido várias
## vezes, então trata-se de um dado longitudinal.
animal	piquete	periodo	copaiba	hora 	pesoconc
1	1	1	0	9:30	230
1	1	1	0	9:45	130
1	1	1	0	10:00	62
1	1	1	0	10:15	62
1	1	1	0	10:30	20
1	1	1	0	10:45	20
1	1	1	0	11:00	0
1	1	1	0	11:15	0
2	2	1	2.9	9:30	470
2	2	1	2.9	9:45	329
2	2	1	2.9	10:00	223
2	2	1	2.9	10:15	215
2	2	1	2.9	10:30	210
2	2	1	2.9	10:45	153
2	2	1	2.9	11:00	112
2	2	1	2.9	11:15	49
3	3	1	5.8	9:30	400
3	3	1	5.8	9:45	342
3	3	1	5.8	10:00	239
3	3	1	5.8	10:15	181
3	3	1	5.8	10:30	168
3	3	1	5.8	10:45	133
3	3	1	5.8	11:00	101
3	3	1	5.8	11:15	56
4	4	1	8.7	9:30	300
4	4	1	8.7	9:45	225
4	4	1	8.7	10:00	189
4	4	1	8.7	10:15	120
4	4	1	8.7	10:30	92
4	4	1	8.7	10:45	52
4	4	1	8.7	11:00	31
4	4	1	8.7	11:15	0
1	2	2	2.9	9:30	230
1	2	2	2.9	9:45	197
1	2	2	2.9	10:00	175
1	2	2	2.9	10:15	70
1	2	2	2.9	10:30	55
1	2	2	2.9	10:45	21
1	2	2	2.9	11:00	0
2	3	2	5.8	9:30	470
2	3	2	5.8	9:45	360
2	3	2	5.8	10:00	230
2	3	2	5.8	10:15	143
2	3	2	5.8	10:30	123
2	3	2	5.8	10:45	93
2	3	2	5.8	11:00	67
2	3	2	5.8	11:15	0
3	4	2	8.7	9:30	400
3	4	2	8.7	9:45	288
3	4	2	8.7	10:00	283
3	4	2	8.7	10:15	276
3	4	2	8.7	10:30	186
3	4	2	8.7	10:45	109
3	4	2	8.7	11:00	43
3	4	2	8.7	11:15	0
4	1	2	0	9:30	300
4	1	2	0	9:45	280
4	1	2	0	10:00	201
4	1	2	0	10:15	133
4	1	2	0	10:30	118
4	1	2	0	10:45	94
4	1	2	0	11:00	51
4	1	2	0	11:15	23
4	1	2	0	11:30	0
1	3	3	5.8	9:30	400
1	3	3	5.8	9:45	390
1	3	3	5.8	10:00	345
1	3	3	5.8	10:15	330
1	3	3	5.8	10:30	313
1	3	3	5.8	10:45	313
1	3	3	5.8	11:00	200
1	3	3	5.8	11:15	123
1	3	3	5.8	11:30	123
2	4	3	8.7	9:30	570
2	4	3	8.7	9:45	390
2	4	3	8.7	10:00	345
2	4	3	8.7	10:15	345
2	4	3	8.7	10:30	215
2	4	3	8.7	10:45	146
2	4	3	8.7	11:00	146
2	4	3	8.7	11:15	146
2	4	3	8.7	11:30	89
3	1	3	0	9:30	500
3	1	3	0	9:45	500
3	1	3	0	10:00	500
3	1	3	0	10:15	420
3	1	3	0	10:30	367
3	1	3	0	10:45	340
3	1	3	0	11:00	310
3	1	3	0	11:15	310
3	1	3	0	11:30	310
4	2	3	2.9	9:30	400
4	2	3	2.9	9:45	360
4	2	3	2.9	10:00	304
4	2	3	2.9	10:15	304
4	2	3	2.9	10:30	263
4	2	3	2.9	10:45	263
4	2	3	2.9	11:00	263
4	2	3	2.9	11:15	200
4	2	3	2.9	11:30	200
1	4	4	8.7	9:30	400
1	4	4	8.7	9:45	360
1	4	4	8.7	10:00	322
1	4	4	8.7	10:15	322
1	4	4	8.7	10:30	322
1	4	4	8.7	10:45	290
1	4	4	8.7	11:00	283
1	4	4	8.7	11:15	283
1	4	4	8.7	11:30	241
1	4	4	8.7	11:45	183
1	4	4	8.7	12:00	183
1	4	4	8.7	12:15	183
2	1	4	0	9:30	600
2	1	4	0	9:45	486
2	1	4	0	10:00	270
2	1	4	0	10:15	218
2	1	4	0	10:30	176
2	1	4	0	10:45	128
2	1	4	0	11:00	98
2	1	4	0	11:15	81
2	1	4	0	11:30	81
2	1	4	0	11:45	23
2	1	4	0	12:00	0
3	2	4	2.9	9:30	500
3	2	4	2.9	9:45	500
3	2	4	2.9	10:00	416
3	2	4	2.9	10:15	326
3	2	4	2.9	10:30	284
3	2	4	2.9	10:45	284
3	2	4	2.9	11:00	250
3	2	4	2.9	11:15	250
3	2	4	2.9	11:30	201
3	2	4	2.9	11:45	201
3	2	4	2.9	12:00	201
4	3	4	5.8	9:30	400
4	3	4	5.8	9:45	400
4	3	4	5.8	10:00	400
4	3	4	5.8	10:15	400
4	3	4	5.8	10:30	390
4	3	4	5.8	10:45	371
4	3	4	5.8	11:00	342
4	3	4	5.8	11:15	342
4	3	4	5.8	11:30	342
4	3	4	5.8	11:45	342
